Source,Source Date,True At,Country,Project Name / concession layer,Project_ID,Commodity Type Overview,Commodity_type,Date of participation data,Company_Name,Company_ID,Share,Is Operator,License_name,License_ID,Government,Organisation_Identifier,Production_volume,Production_unit,Price from EITI Report,Unit,Payment_type,Currency,Payment received by government (US$),Payment by company (US$)
#source,#sourceDate,#trueAt,#country,#project,#project+identifier,#commodity,#commodity+code,#participant+trueAt,#participant+company,#participant+company+identifier,#participant+share,#participant+isOperator,#license,#license+identifier,,,,,,,,,,
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,West Madura,,Oil & Gas,Oil & Gas,,"Kodeco Energy Co., Ltd.",,,,,,,,,,,,,,"139,671,000","140,695,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Tuban,,Oil & Gas,Oil & Gas,,PT Pertamina Hulu Energi East Java,,,,,,,,Not given,,,,,,"68,409,000","70,719,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Tuban,,Oil & Gas,Oil & Gas,,PetroChina East Java,,,,,,,,,,,,,,"80,947,000","74,147,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Ogan Komering,,Oil & Gas,Oil & Gas,,PT Pertamina Hulu Energi Ogan Komering,,,,,,,,Not given,,,,,,"33,172,000","33,172,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Ogan Komering,,Oil & Gas,Oil & Gas,,Talisman (Ogan Komering) Ltd.,,,,,,,,,,,,,,"35,461,000","35,695,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Kepala Burung,,Oil & Gas,Oil & Gas,,PT Pertamina Hulu Energi Salawati,,,,,,,,Not given,,,,,,"20,608,000","21,894,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Kepala Burung,,Oil & Gas,Oil & Gas,,PetroChina International Salawati Ltd,,,,,,,,,,,,,,"23,992,000","22,479,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,"Senoro - Toili, Sulawesi",,Oil & Gas,Oil & Gas,,PT Pertamina Hulu Energi Tomori Sulawesi,,,,,,,,Not given,,,,,,"9,391,000","9,391,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,"Senoro - Toili, Sulawesi",,Oil & Gas,Oil & Gas,,PT Medco E&P Tomori Sulawesi,,,,,,,,,,,,,,"6,175,000","6,175,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Raja,,Oil & Gas,Oil & Gas,,PT Pertamina Hulu Energi Raja Tempirai,,,,,,,,Not given,,,,,,"6,341,000","6,317,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Raja,,Oil & Gas,Oil & Gas,,Golden Spike Ltd.,,,,,,,,,,,,,,"5,067,000","5,233,000"
https://example.com/eiti-report,02/01/14,02/04/14,Indonesia,Jabung,,Oil & Gas,Oil & Gas,,PetroChina International Jabung Ltd.,,,,,,,,Not given,,,,,,"634,789,000","583,988,000"
,,,Indonesia,Salawati Basin,,Oil & Gas,Oil & Gas,,PetroChina International (Bermuda) Ltd.,,,,,,,,Not given,,,,,,"75,043,000","75,043,000"
,,,Indonesia,Bangko,,Oil & Gas,Oil & Gas,,PetroChina International Bangko Ltd.,,,,,,,,Not given,,,,,,"685,000","685,000"
,,,Indonesia,Offshore Northwest Java,,Oil & Gas,Oil & Gas,,Pertamina Hulu Energi ONWJ Ltd.,,,,,,,,Not given,,,,,,"406,903,000","398,032,000"
,,,Indonesia,Berau,,Oil & Gas,Oil & Gas,,BP Berau Ltd.,,,,,,,,Not given,,,,,,"3,227,000","3,226,000"
,,,Indonesia,Muturi,,Oil & Gas,Oil & Gas,,BP Muturi Ltd.,,,,,,,,Not given,,,,,,"971,000","971,000"
,,,Indonesia,Wiriagar,,Oil & Gas,Oil & Gas,,BP Wiriagar Ltd.,,,,,,,,Not given,,,,,,"386,000","387,000"
,,,Indonesia,Barisan Rimau,,Oil & Gas,Oil & Gas,,PT Medco E&P Rimau,,,,,,,,Not given,,,,,,"326,226,000","235,463,000"
,,,Indonesia,South & Central Sumatra,,Oil & Gas,Oil & Gas,,PT Medco E&P Indonesia,,,,,,,,Not given,,,,,,"166,905,000","257,667,000"
,,,Indonesia,Tarakan,,Oil & Gas,Oil & Gas,,PT Medco E&P Tarakan,,,,,,,,Not given,,,,,,"39,340,000","39,340,000"
,,,Indonesia,Lematang,,Oil & Gas,Oil & Gas,,PT Medco E&P Lematang,,,,,,,,Not given,,,,,,"45,000","45,000"
,,,Indonesia,Natuna Sea - A,,Oil & Gas,Oil & Gas,,Premier Oil Natuna SEA BV,,,,,,,,Not given,,,,,,"345,456,000","345,090,000"
,,,Indonesia,Malacca Strait,,Oil & Gas,Oil & Gas,,Kondur Petroleum S.A,,,,,,,,Not given,,,,,,"126,891,000","125,739,000"
,,,Indonesia,Kangean,,Oil & Gas,Oil & Gas,,Kangean Energy Indonesia Ltd.,,,,,,,,Not given,,,,,,"8,097,000","8,098,000"
,,,Indonesia,Korinci,,Oil & Gas,Oil & Gas,,Kalila (Korinci) Ltd.,,,,,,,,Not given,,,,,,"1,217,000","1,217,000"
,,,Indonesia,Brantas,,Oil & Gas,Oil & Gas,,Lapindo Brantas Inc.,,,,,,,,Not given,,,,,,"1,694,000","1,695,000"
,,,Indonesia,Kakap,,Oil & Gas,Oil & Gas,,Star Energy Kakap Ltd.,,,,,,,,Not given,,,,,,"116,257,000","117,583,000"
,,,Indonesia,"Pangkah, East Java",,Oil & Gas,Oil & Gas,,Hess (Indonesia-Pangkah) Ltd.,,,,,,,,Not given,,,,,,"18,954,000","18,954,000"
,,,Indonesia,"Sampang, East Java Sea",,Oil & Gas,Oil & Gas,,Santos (Sampang) Pty. Ltd,,,,,,,,Not given,,,,,,"13,577,000","13,578,000"
,,,Indonesia,Madura Offshore,,Oil & Gas,Oil & Gas,,Santos (Madura Offshore) Pty. Ltd.,,,,,,,,Not given,,,,,,"8,590,000","8,589,000"
,,,Indonesia,"Sengkang, South Sulawesi",,Oil & Gas,Oil & Gas,,Energy Equity Epic (Sengkang) Pty. Ltd.,,,,,,,,Not given,,,,,,"7,228,000","7,228,000"
,,,Indonesia,Seram Non Bula,,Oil & Gas,Oil & Gas,,CITIC Seram Energy Ltd.,,,,,,,,Not given,,,,,,"3,095,000","3,095,000"
,,,Indonesia,Bula - Seram,,Oil & Gas,Oil & Gas,,Kalrez Petroleum (Seram) Ltd.,,,,,,,,Not given,,,,,,"1,056,000","1,055,000"
,,,Indonesia,Tungkal,,Oil & Gas,Oil & Gas,,Pearl Oil (Tungkal) Ltd.,,,,,,,,Not given,,,,,,"1,837,000","1,837,000"
,,,Indonesia,Selat Panjang,,Oil & Gas,Oil & Gas,,Petroselat Ltd.,,,,,,,,Not given,,,,,,"1,123,000","1,123,000"
,,,Indonesia,Wailawi,,Oil & Gas,Oil & Gas,,Perusda Benuo Taka,,,,,,,,Not given,,,,,,"442,000","442,000"
,,,Indonesia,Gebang,,Oil & Gas,Oil & Gas,,Costa International Group Ltd.,,,,,,,,Not given,,,,,,"103,000","103,000"
